Normal verb - Past tense,Written verb - Past tense,Normal verb - Present tense,Written verb - Present tense,Subject
ලිවුවා ,ලිව්වෙමි,ලියනවා ,ලියමි,මම 
ලිවුවා ,ලිව්වෙමු  ,ලියනවා ,ලියමු,අපි
ලිවුවා ,ලිව්වේය,ලියනවා ,ලියයි ,ඔහු
ලිවුවා ,ලිව්වාය,ලියනවා ,ලියයි,ඇය
ලිවුවා ,ලිව්වෝය  ,ලියනවා ,ලියති ,ඔවුහු 
කිවුවා,කිව්වෙමි,කියනවා,කියමි,මම 
කිවුවා,කිව්වෙමු,කියනවා,කියමු,අපි
කිවුවා,කිව්වේය,කියනවා,කියයි,ඔහු 
කිවුවා,කිව්වාය,කියනවා,කියයි,ඇය
කිවුවා,කිව්වෝය ,කියනවා,කියති ,ඔවුහු 
ගියා ,ගියෙමි,යනවා ,යමි,මම
ගියා ,ගියෙමු,යනවා ,යමු,අපි
ගියා ,ගියේය,යනවා ,යයි,ඔහු
ගියා ,ගියාය,යනවා ,යයි,ඇය
ගියා ,ගියෝය ,යනවා ,යති ,ඔවුහු 
කළා ,කළෙමි,කරනවා,කරමි,මම 
කළා ,කළෙමු,කරනවා,කරමු ,අපි
කළා ,කළේය,කරනවා,කරයි,ඔහු
කළා ,කළාය,කරනවා,කරයි,ඇය
කළා ,කළෝය ,කරනවා,කරති ,ඔවුහු 
බැලුවා,බැලුවෙමි,බලනවා,බලමි,මම 
බැලුවා,බැලුවෙමු,බලනවා,බලමු ,අපි
බැලුවා,බැලුවේය,බලනවා,බලයි,ඔහු
බැලුවා,බැලුවාය,බලනවා,බලයි,ඇය
බැලුවා,බැලුවෝය ,බලනවා,බලති ,ඔවුහු 
දිවුවා  ,දිව්වෙමි,දුවනවා ,දුවමි,මම 
දිවුවා  ,දිව්වෙමු,දුවනවා ,දුවමු,අපි 
දිවුවා  ,දිව්වේය,දුවනවා ,දුවයි,ඔහු
දිවුවා  ,දිවුවාය,දුවනවා ,දුවයි,ඇය
දිවුවා  ,දිව්වෝය ,දුවනවා ,දුවති,ඔවුහු 
කෑවා,කෑවෙමි,කනවා ,කමි,මම 
කෑවා,කෑවෙමු,කනවා ,කමු,අපි 
කෑවා,කෑවේය,කනවා ,කයි,ඔහු
කෑවා,කෑවාය ,කනවා ,කයි,ඇය
කෑවා,කෑවෝය    ,කනවා ,කති ,ඔවුහු 
බැබලුනා ,බැබලුනෙමි,බැබලෙනවා ,බැබලෙමි,මම 
බැබලුනා ,බැබලුනෙමු,බැබලෙනවා ,බැබලෙමු,අපි
බැබලුනා ,බැබලුනේය,බැබලෙනවා ,බැබලෙයි,ඔහු
බැබලුනා ,බැබලුනාය,බැබලෙනවා ,බැබලෙයි,ඇය
බැබලුනා ,බැබලුනෝය,බැබලෙනවා ,බැබලෙති,ඔවුහු
විකුණුවා ,විකුණුවෙමි,විකුණනවා ,විකුණමි         ,මම 
විකුණුවා ,විකුණුවෙමු,විකුණනවා ,විකුණමු       ,අපි
විකුණුවා ,විකුණුවේය,විකුණනවා ,විකුණයි        ,ඔහු
විකුණුවා ,විකුණුවාය,විකුණනවා ,විකුණයි        ,ඇය
විකුණුවා ,විකුණුවෝය,විකුණනවා ,විකුණති          ,ඔවුහු 
කියෙව්වා ,කියෙව්වෙමි,කියවනවා ,කියවමි,මම 
කියෙව්වා ,කියෙව්වෙමු,කියවනවා ,කියවමු,අපි
කියෙව්වා ,කියෙව්වේය,කියවනවා ,කියවයි,ඔහු
කියෙව්වා ,කියෙව්වාය,කියවනවා ,කියවයි,ඇය
කියෙව්වා ,කියෙව්වෝය,කියවනවා ,කියවති,ඔවුහු 
විසදුවා ,විසදුවෙමි,විසදනවා ,විසදමි,මම 
විසදුවා ,විසදුවෙමු,විසදනවා ,විසදමු,අපි
විසදුවා ,විසදුවේය,විසදනවා ,විසදයි,ඔහු
විසදුවා ,විසදුවාය,විසදනවා ,විසදයි,ඇය
විසදුවා ,විසදුවෝය,විසදනවා ,විසදති,ඔවුහු 
ඉගැන්නුවා ,ඉගැන්නුවෙමි,උගන්නනවා ,උගන්නමි,මම 
ඉගැන්නුවා ,ඉගැන්නුවෙමු,උගන්නනවා ,උගන්නමු,අපි
ඉගැන්නුවා ,ඉගැන්නුවේය,උගන්නනවා ,උගන්නයි,ඔහු
ඉගැන්නුවා ,ඉගැන්නුවාය,උගන්නනවා ,උගන්නයි,ඇය
ඉගැන්නුවා ,ඉගැන්නුවෝය,උගන්නනවා ,උගන්නති,ඔවුහු 
සිටියා ,සිටියෙමි,සිටිනවා ,සිටිමි,මම 
සිටියා ,සිටියෙමු,සිටිනවා ,සිටිමු,අපි
සිටියා ,සිටියේය,සිටිනවා ,සිටියි,ඔහු
සිටියා ,සිටියාය,සිටිනවා ,සිටියි,ඇය
සිටියා ,සිටියෝය,සිටිනවා ,සිටිති,ඔවුහු 
හැදුවා ,හැදුවෙමි,හදනවා ,හදමි,මම
හැදුවා ,හැදුවෙමු,හදනවා ,හදමු,අපි 
හැදුවා ,හැදුවේය,හදනවා ,හදයි,ඔහු 
හැදුවා ,හැදුවාය,හදනවා ,හදයි,ඇය
හැදුවා ,හැදුවෝය,හදනවා ,හදති,ඔවුහු 
දැල්වුවා,දැල්වුවෙමි,දල්වනවා,දල්වමි,මම 
දැල්වුවා,දැල්වුවෙමු,දල්වනවා,දල්වමු,අපි
දැල්වුවා,දැල්වුවේය,දල්වනවා,දල්වයි,ඔහු
දැල්වුවා,දැල්වුවාය,දල්වනවා,දල්වයි,ඇය
දැල්වුවා,දැල්වුවෝය,දල්වනවා,දල්වති,ඔවුහු 
ආවා,ආවෙමි,එනවා,එමි,මම 
ආවා,ආවෙමු  ,එනවා,එමු,අපි 
ආවා,ආවේය  ,එනවා,එයි,ඔහු
ආවා,ආවාය  ,එනවා,එයි,ඇය
ආවා,ආවෝය  ,එනවා,එති  ,ඔවුහු 
ගෙරෙව්වා,ගෙරෙව්වෙමි,ගොරවනවා,ගොරවමි,මම 
ගෙරෙව්වා,ගෙරෙව්වෙමු,ගොරවනවා,ගොරවමු,අපි
ගෙරෙව්වා,ගෙරෙව්වේය,ගොරවනවා,ගොරවයි,ඔහු
ගෙරෙව්වා,ගෙරෙව්වාය,ගොරවනවා,ගොරවයි,ඇය
ගෙරෙව්වා,ගෙරෙව්වෝය,ගොරවනවා,ගොරවති,ඔවුහු 
විහිදුවා ,විහිදුවෙමි,විහිදනවා ,විහිදමි,මම 
විහිදුවා ,විහිදුවෙමු,විහිදනවා ,විහිදමු,අපි
විහිදුවා ,විහිදුවේය,විහිදනවා ,විහිදයි,ඔහු
විහිදුවා ,විහිදුවාය,විහිදනවා ,විහිදයි,ඇය
විහිදුවා ,විහිදුවෝය,විහිදනවා ,විහිදති,ඔවුහු 
ගත්තා ,ගත්තෙමි    ,ගන්නවා ,ගනිමි,මම 
ගත්තා ,ගත්තෙමු           ,ගන්නවා ,ගනිමු   ,අපි 
ගත්තා ,ගත්තේය           ,ගන්නවා ,ගනියි ,ඔහු
ගත්තා ,ගත්තාය,ගන්නවා ,ගනියි   ,ඇය
ගත්තා ,ගත්තෝය           ,ගන්නවා ,ගනිති    ,ඔවුහු 
වුනා,වුනෙමි,වෙනවා,වෙමි,මම 
වුනා,වුනෙමු      ,වෙනවා,වෙමු   ,අපි
වුනා,වුනේය       ,වෙනවා,වෙයි    ,ඔහු
වුනා,වුනාය       ,වෙනවා,වෙයි    ,ඇය
වුනා,වුනෝය       ,වෙනවා,වෙති     ,ඔවුහු
සෙව්වා ,සෙව්වෙමි,සොයනවා ,සොයමි,මම 
සෙව්වා ,සෙව්වෙමු,සොයනවා ,සොයමු,අපි 
සෙව්වා ,සෙව්වේය,සොයනවා ,සොයයි,ඔහු
සෙව්වා ,සෙව්වාය,සොයනවා ,සොයයි,ඇය
සෙව්වා ,සෙව්වෝය,සොයනවා ,සොයති,ඔවුහු 
පැමිණියා,පැමිණියෙමි,පැමිණෙනවා,පැමිණෙමි,මම
පැමිණියා,පැමිණියෙමු,පැමිණෙනවා,පැමිණෙමු,අපි
පැමිණියා,පැමිණියේය,පැමිණෙනවා,පැමිණෙයි,ඔහු
පැමිණියා,පැමිණියාය,පැමිණෙනවා,පැමිණෙයි,ඇය
පැමිණියා,පැමිණියෝය,පැමිණෙනවා,පැමිණෙති,ඔවුහු 
ඇහුවා,ඇහුවෙමි,අහනවා,අහමි,මම
ඇහුවා,ඇහුවෙමු,අහනවා,අහමු,අපි
ඇහුවා,ඇහුවේය,අහනවා,අහයි,ඔහු
ඇහුවා,ඇහුවාය,අහනවා,අහයි,ඇය
ඇහුවා,ඇහුවෝය,අහනවා,අහති,ඔවුහු 
බිව්වා,බිව්වෙමි,බොනවා,බොමි,මම
බිව්වා,බිව්වෙමු,බොනවා,බොමු,අපි
බිව්වා,බිව්වේය,බොනවා,බොයි ,ඔහු
බිව්වා,බිව්වාය,බොනවා,බොයි ,ඇය
බිව්වා,බිව්වෝය,බොනවා,බොති,ඔවුහු 
කැපුවා,කැපුවෙමි,කපනවා,කපමි,මම
කැපුවා,කැපුවෙමු,කපනවා,කපමු,අපි
කැපුවා,කැපුවේය,කපනවා,කපයි ,ඔහු
කැපුවා,කැපුවාය,කපනවා,කපයි ,ඇය
කැපුවා,කැපුවෝය,කපනවා,කපති,ඔවුහු 
දුන්නා,දුන්නෙමි,දෙනවා,දෙමි ,මම
දුන්නා,දුන්නෙමු,දෙනවා,දෙමු,අපි
දුන්නා,දුන්නේය,දෙනවා,දෙයි ,ඔහු
දුන්නා,දුන්නාය,දෙනවා,දෙයි ,ඇය
දුන්නා,දුන්නෝය,දෙනවා,දෙති,ඔවුහු 
ඉව්වා,ඉව්වෙමි,උයනවා,උයමි,මම
ඉව්වා,ඉව්වෙමු,උයනවා,උයමු,අපි
ඉව්වා,ඉව්වේය,උයනවා,උයයි ,ඔහු
ඉව්වා,ඉව්වාය,උයනවා,උයයි ,ඇය
ඉව්වා,ඉව්වෝය,උයනවා,උයති,ඔවුහු 
කැඩුවා    ,කැඩුවෙමි,කඩනවා ,කඩමි,මම
කැඩුවා    ,කැඩුවෙමු,කඩනවා ,කඩමු,අපි
කැඩුවා    ,කැඩුවේය,කඩනවා ,කඩයි,ඔහු
කැඩුවා    ,කැඩුවාය,කඩනවා ,කඩයි,ඇය
කැඩුවා    ,කැඩුවෝය,කඩනවා ,කඩති,ඔවුහු 
පිළිගත්තා       ,පිළිගත්තෙමි,පිළිගන්නවා ,පිළිගනිමි,මම
පිළිගත්තා       ,පිළිගත්තෙමු,පිළිගන්නවා ,පිළිගනිමු,අපි
පිළිගත්තා       ,පිළිගත්තේය,පිළිගන්නවා ,පිළිගනියි,ඔහු
පිළිගත්තා       ,පිළිගත්තාය ,පිළිගන්නවා ,පිළිගනියි,ඇය
පිළිගත්තා       ,පිළිගත්තෝය,පිළිගන්නවා ,පිළිගනිති,ඔවුහු 
ඇමුණුවා      ,ඇමුණුවෙමි,අමුණනවා ,අමුණමි,මම
ඇමුණුවා      ,ඇමුණුවෙමු,අමුණනවා ,අමුණමු,අපි
ඇමුණුවා      ,ඇමුණුවේය,අමුණනවා ,අමුණයි,ඔහු
ඇමුණුවා      ,ඇමුණුවාය,අමුණනවා ,අමුණයි,ඇය
ඇමුණුවා      ,ඇමුණුවෝය,අමුණනවා ,අමුණති,ඔවුහු 
ගොඩනැගුවා     ,ගොඩනැගුවෙමි,ගොඩනගනවා ,ගොඩනගමි,මම
ගොඩනැගුවා     ,ගොඩනැගුවෙමු,ගොඩනගනවා ,ගොඩනගමු,අපි
ගොඩනැගුවා     ,ගොඩනැගුවේය,ගොඩනගනවා ,ගොඩනගයි,ඔහු
ගොඩනැගුවා     ,ගොඩනැගුවාය,ගොඩනගනවා ,ගොඩනගයි,ඇය
ගොඩනැගුවා     ,ගොඩනැගුවෝය,ගොඩනගනවා ,ගොඩනගති,ඔවුහු 
පිළිස්සුවා      ,පිළිස්සුවෙමි,පුළුස්සනවා ,පුළුස්සමි,මම
පිළිස්සුවා      ,පිළිස්සුවෙමු,පුළුස්සනවා ,පුළුස්සමු,අපි
පිළිස්සුවා      ,පිළිස්සුවේය,පුළුස්සනවා ,පුළුස්සයි,ඔහු
පිළිස්සුවා      ,පිළිස්සුවාය,පුළුස්සනවා ,පුළුස්සයි,ඇය
පිළිස්සුවා      ,පිළිස්සුවෝය,පුළුස්සනවා ,පුළුස්සති ,ඔවුහු 
ඇල්ලුවා    ,ඇල්ලුවෙමි ,අල්ලනවා ,අල්ලමි,මම
ඇල්ලුවා    ,ඇල්ලුවෙමු,අල්ලනවා ,අල්ලමු,අපි
ඇල්ලුවා    ,ඇල්ලුවේය,අල්ලනවා ,අල්ලයි,ඔහු
ඇල්ලුවා    ,ඇල්ලුවාය,අල්ලනවා ,අල්ලයි,ඇය
ඇල්ලුවා    ,ඇල්ලුවෝය,අල්ලනවා ,අල්ලති,ඔවුහු 
තේරුවා,තේරුවෙමි,තෝරනවා ,තෝරමි,මම
තේරුවා,තේරුවෙමු,තෝරනවා ,තෝරමු,අපි
තේරුවා,තේරුවේය,තෝරනවා ,තෝරයි,ඔහු
තේරුවා,තේරුවාය,තෝරනවා ,තෝරයි,ඇය
තේරුවා,තේරුවෝය,තෝරනවා ,තෝරති,ඔවුහු 
හෑරුවා     ,හෑරුවෙමි,හාරනවා ,හාරමි,මම
හෑරුවා     ,හෑරුවෙමු,හාරනවා ,හාරමු,අපි
හෑරුවා     ,හෑරුවේය,හාරනවා ,හාරයි,ඔහු
හෑරුවා     ,හෑරුවාය ,හාරනවා ,හාරයි,ඇය
හෑරුවා     ,හෑරුවෝය,හාරනවා ,හාරති,ඔවුහු 
දැක්කා     ,දැක්කෙමි,දකිනවා ,දකිමි,මම
දැක්කා     ,දැක්කෙමු,දකිනවා ,දකිමු ,අපි
දැක්කා     ,දැක්කේය,දකිනවා ,දකියි ,ඔහු
දැක්කා     ,දැක්කාය,දකිනවා ,දකියි ,ඇය
දැක්කා     ,දැක්කෝය,දකිනවා ,දකිති,ඔවුහු 
වැටුනා    ,වැටුනෙමි,වැටෙනවා ,වැටෙමි ,මම
වැටුනා    ,වැටුනෙමු ,වැටෙනවා ,වැටෙමු,අපි
වැටුනා    ,වැටුනේය,වැටෙනවා ,වැටෙයි,ඔහු
වැටුනා    ,වැටුනාය,වැටෙනවා ,වැටෙයි,ඇය
වැටුනා    ,වැටුනෝය ,වැටෙනවා ,වැටෙති,ඔවුහු 
පියෑඹුවා     ,පියෑඹුවෙමි,පියාඹනවා ,පියාඹමි,මම
පියෑඹුවා     ,පියෑඹුවෙමු,පියාඹනවා ,පියාඹමු,අපි
පියෑඹුවා     ,පියෑඹුවේය,පියාඹනවා ,පියාඹයි,ඔහු
පියෑඹුවා     ,පියෑඹුවාය,පියාඹනවා ,පියාඹයි,ඇය
පියෑඹුවා     ,පියෑඹුවෝය ,පියාඹනවා ,පියාඹති,ඔවුහු 
හැංගුවා      ,හැංගුවෙමි,හැංගෙනවා ,හැංගෙමි,මම
හැංගුවා      ,හැංගුවෙමු,හැංගෙනවා ,හැංගෙමු,අපි
හැංගුවා      ,හැංගුවේය,හැංගෙනවා ,හැංගෙයි,ඔහු
හැංගුවා      ,හැංගුවාය,හැංගෙනවා ,හැංගෙයි,ඇය
හැංගුවා      ,හැංගුවෝය,හැංගෙනවා ,හැංගෙති,ඔවුහු 
පැවැත්වුවා      ,පැවැත්වුවෙමි,පවත්වනවා ,පවත්වමි ,මම
පැවැත්වුවා      ,පැවැත්වුවෙමු ,පවත්වනවා ,පවත්වමු,අපි
පැවැත්වුවා      ,පැවැත්වුවේය,පවත්වනවා ,පවත්වයි,ඔහු
පැවැත්වුවා      ,පැවැත්වුවාය,පවත්වනවා ,පවත්වයි,ඇය
පැවැත්වුවා      ,පැවැත්වුවෝය,පවත්වනවා ,පවත්වති ,ඔවුහු 
එසවුවා   ,එසවුවෙමි,ඔසවනවා ,ඔසවමි ,මම
එසවුවා   ,එසවුවෙමු,ඔසවනවා ,ඔසවමු ,අපි
එසවුවා   ,එසවුවේය,ඔසවනවා ,ඔසවයි,ඔහු
එසවුවා   ,එසවුවාය,ඔසවනවා ,ඔසවයි,ඇය
එසවුවා   ,එසවුවෝය,ඔසවනවා ,ඔසවති,ඔවුහු 
පැරදුනා     ,පැරදුනෙමි,පරදිනවා ,පරදිමි,මම
පැරදුනා     ,පැරදුනෙමු ,පරදිනවා ,පරදිමු,අපි
පැරදුනා     ,පැරදුනේය,පරදිනවා ,පරදියි,ඔහු
පැරදුනා     ,පැරදුනාය,පරදිනවා ,පරදියි,ඇය
පැරදුනා     ,පැරදුනෝය,පරදිනවා ,පරදිති,ඔවුහු 
දිනුවා      ,දිනුවෙමි,දිනනවා ,දිනමි,මම
දිනුවා      ,දිනුවෙමු,දිනනවා ,දිනමු,අපි
දිනුවා      ,දිනුවේය,දිනනවා ,දිනයි,ඔහු
දිනුවා      ,දිනුවාය,දිනනවා ,දිනයි,ඇය
දිනුවා      ,දිනුවෝය,දිනනවා ,දිනති,ඔවුහු 
මුණගැසුනා      ,මුණගැසුනෙමි,මුණගැසෙනවා ,මුණගැසෙමි,මම
මුණගැසුනා      ,මුණගැසුනෙමු ,මුණගැසෙනවා ,මුණගැසෙමු,අපි
මුණගැසුනා      ,මුණගැසුනේය,මුණගැසෙනවා ,මුණගැසෙයි,ඔහු
මුණගැසුනා      ,මුණගැසුනාය,මුණගැසෙනවා ,මුණගැසෙයි,ඇය
මුණගැසුනා      ,මුණගැසුනෝය,මුණගැසෙනවා ,මුණගැසෙති,ඔවුහු 
ගෙවුවා     ,ගෙවුවෙමි,ගෙවනවා ,ගෙවමි,මම
ගෙවුවා     ,ගෙවුවෙමු,ගෙවනවා ,ගෙවමු,අපි
ගෙවුවා     ,ගෙවුවේය,ගෙවනවා ,ගෙවයි,ඔහු
ගෙවුවා     ,ගෙවුවාය,ගෙවනවා ,ගෙවයි,ඇය
ගෙවුවා     ,ගෙවුවෝය,ගෙවනවා ,ගෙවති,ඔවුහු 
පැද්දා    ,පැද්දෙමි ,පදිනවා ,පදිමි,මම
පැද්දා    ,පැද්දෙමු,පදිනවා ,පදිමු ,අපි
පැද්දා    ,පැද්දේය,පදිනවා ,පදියි,ඔහු
පැද්දා    ,පැද්දාය,පදිනවා ,පදියි,ඇය
පැද්දා    ,පැද්දෝය,පදිනවා ,පදිති,ඔවුහු 
නැග්ගා      ,නැග්ගෙමි,නගිනවා ,නගිමි,මම
නැග්ගා      ,නැග්ගෙමු,නගිනවා ,නගිමු,අපි
නැග්ගා      ,නැග්ගේය,නගිනවා ,නගියි ,ඔහු
නැග්ගා      ,නැග්ගාය ,නගිනවා ,නගියි ,ඇය
නැග්ගා      ,නැග්ගෝය,නගිනවා ,නගිති,ඔවුහු 
බැස්සා      ,බැස්සෙමි,බහිනවා ,බහිමි,මම
බැස්සා      ,බැස්සෙමු ,බහිනවා ,බහිමු,අපි
බැස්සා      ,බැස්සේය,බහිනවා ,බහියි ,ඔහු
බැස්සා      ,බැස්සාය,බහිනවා ,බහියි ,ඇය
බැස්සා      ,බැස්සෝය,බහිනවා ,බහිති,ඔවුහු 
බැන්නා    ,බැන්නෙමි,බනිනවා ,බනිමි,මම
බැන්නා    ,බැන්නෙමු,බනිනවා ,බනිමු,අපි
බැන්නා    ,බැන්නේය,බනිනවා ,බනියි,ඔහු
බැන්නා    ,බැන්නාය,බනිනවා ,බනියි,ඇය
බැන්නා    ,බැන්නෝය,බනිනවා ,බනිති,ඔවුහු 
ගැහුවා      ,ගැහුවෙමි,ගහනවා ,ගහමි,මම
ගැහුවා      ,ගැහුවෙමු ,ගහනවා ,ගහමු,අපි
ගැහුවා      ,ගැහුවේය,ගහනවා ,ගහයි,ඔහු
ගැහුවා      ,ගැහුවාය,ගහනවා ,ගහයි,ඇය
ගැහුවා      ,ගැහුවෝය,ගහනවා ,ගහති,ඔවුහු 
ඇඩුවා    ,ඇඩුවෙමි,අඩනවා ,අඩමි,මම
ඇඩුවා    ,ඇඩුවෙමු ,අඩනවා ,අඩමු,අපි
ඇඩුවා    ,ඇඩුවේය,අඩනවා ,අඩයි ,ඔහු
ඇඩුවා    ,ඇඩුවාය,අඩනවා ,අඩයි ,ඇය
ඇඩුවා    ,ඇඩුවෝය ,අඩනවා ,අඩති,ඔවුහු 
සිනාසුනා     ,සිනාසුනෙමි,සිනාසෙනවා ,සිනාසෙමි,මම
සිනාසුනා     ,සිනාසුනෙමු,සිනාසෙනවා ,සිනාසෙමු,අපි
සිනාසුනා     ,සිනාසුනේය,සිනාසෙනවා ,සිනාසෙයි ,ඔහු
සිනාසුනා     ,සිනාසුනාය,සිනාසෙනවා ,සිනාසෙයි ,ඇය
සිනාසුනා     ,සිනාසුනෝය,සිනාසෙනවා ,සිනාසෙති,ඔවුහු 
රැව්වා      ,රැව්වෙමි,රවනවා ,රවමි,මම
රැව්වා      ,රැව්වෙමු,රවනවා ,රවමු ,අපි
රැව්වා      ,රැව්වේය,රවනවා ,රවයි,ඔහු
රැව්වා      ,රැව්වාය,රවනවා ,රවයි,ඇය
රැව්වා      ,රැව්වෝය,රවනවා ,රවති,ඔවුහු 
රගපෑවා      ,රගපෑවෙමි,රගපනවා ,රගපාමි,මම
රගපෑවා      ,රගපෑවෙමු        ,රගපනවා ,රගපාමු,අපි
රගපෑවා      ,රගපෑවේය,රගපනවා ,රගපායි,ඔහු
රගපෑවා      ,රගපෑවාය,රගපනවා ,රගපායි,ඇය
රගපෑවා      ,රගපෑවෝය ,රගපනවා ,රගපාති,ඔවුහු 
යැව්වා     ,යැව්වෙමි,යවනවා ,යවමි,මම
යැව්වා     ,යැව්වෙමු ,යවනවා ,යවමු,අපි
යැව්වා     ,යැව්වේය,යවනවා ,යවයි,ඔහු
යැව්වා     ,යැව්වාය,යවනවා ,යවයි,ඇය
යැව්වා     ,යැව්වෝය,යවනවා ,යවති,ඔවුහු 
පෙන්නුවා    ,පෙන්නුවෙමි ,පෙන්නනවා ,පෙන්නමි,මම
පෙන්නුවා    ,පෙන්නුවෙමු,පෙන්නනවා ,පෙන්නමු ,අපි
පෙන්නුවා    ,පෙන්නුවේය,පෙන්නනවා ,පෙන්නයි,ඔහු
පෙන්නුවා    ,පෙන්නුවාය,පෙන්නනවා ,පෙන්නයි,ඇය
පෙන්නුවා    ,පෙන්නුවෝය,පෙන්නනවා ,පෙන්නති,ඔවුහු 
නැගිට්ටා     ,නැගිට්ටෙමි,නැගිටිනවා ,නැගිටිමි,මම
නැගිට්ටා     ,නැගිට්ටෙමු,නැගිටිනවා ,නැගිටිමු,අපි
නැගිට්ටා     ,නැගිට්ටේය,නැගිටිනවා ,නැගිටියි,ඔහු
නැගිට්ටා     ,නැගිට්ටාය,නැගිටිනවා ,නැගිටියි,ඇය
නැගිට්ටා     ,නැගිට්ටෝය,නැගිටිනවා ,නැගිටිති,ඔවුහු 
දිවුරුවා    ,දිවුරුවෙමි,දිවුරනවා ,දිවුරමි,මම
දිවුරුවා    ,දිවුරුවෙමු,දිවුරනවා ,දිවුරමු,අපි
දිවුරුවා    ,දිවුරුවේය,දිවුරනවා ,දිවුරයි ,ඔහු
දිවුරුවා    ,දිවුරුවාය ,දිවුරනවා ,දිවුරයි ,ඇය
දිවුරුවා    ,දිවුරුවෝය,දිවුරනවා ,දිවුරති,ඔවුහු 
ඇමතුවා        ,ඇමතුවෙමි,අමතනවා,අමතමි,මම
ඇමතුවා        ,ඇමතුවෙමු,අමතනවා,අමතමු,අපි
ඇමතුවා        ,ඇමතුවේය,අමතනවා,අමතයි,ඔහු
ඇමතුවා        ,ඇමතුවාය,අමතනවා,අමතයි,ඇය
ඇමතුවා        ,ඇමතුවෝය,අමතනවා,අමතති,ඔවුහු 
පිහිනුවා      ,පිහිනුවෙමි,පිහිනනවා ,පිහිනමි,මම
පිහිනුවා      ,පිහිනුවෙමු,පිහිනනවා ,පිහිනමු,අපි
පිහිනුවා      ,පිහිනුවේය,පිහිනනවා ,පිහිනයි,ඔහු
පිහිනුවා      ,පිහිනුවාය,පිහිනනවා ,පිහිනයි,ඇය
පිහිනුවා      ,පිහිනුවෝය,පිහිනනවා ,පිහිනති,ඔවුහු 
සැලුවා     ,සැලුවෙමි,සලනවා ,සලමි,මම
සැලුවා     ,සැලුවෙමු,සලනවා ,සලමු,අපි
සැලුවා     ,සැලුවේය,සලනවා ,සලයි,ඔහු
සැලුවා     ,සැලුවාය       ,සලනවා ,සලයි,ඇය
සැලුවා     ,සැලුවෝය ,සලනවා ,සලති,ඔවුහු 
සිතුවා     ,සිතුවෙමි,සිතනවා ,සිතමි,මම
සිතුවා     ,සිතුවෙමු,සිතනවා ,සිතමු,අපි
සිතුවා     ,සිතුවේය,සිතනවා ,සිතයි,ඔහු
සිතුවා     ,සිතුවාය,සිතනවා ,සිතයි,ඇය
සිතුවා     ,සිතුවෝය ,සිතනවා ,සිතති,ඔවුහු 
සැගෙව්වා,සැගෙව්වෙමි,සගවනවා,සගවමි ,මම
සැගෙව්වා,සැගෙව්වෙමු,සගවනවා,සගවමු,අපි
සැගෙව්වා,සැගෙව්වේය,සගවනවා,සගවයි,ඔහු
සැගෙව්වා,සැගෙව්වාය            ,සගවනවා,සගවයි,ඇය
සැගෙව්වා,සැගෙව්වෝය,සගවනවා,සගවති,ඔවුහු 
වැළැක්වුවා,වැළැක්වුවෙමි,වළක්වනවා ,වළක්වමි,මම
වැළැක්වුවා,වැළැක්වුවෙමු,වළක්වනවා ,වළක්වමු,අපි
වැළැක්වුවා,වැළැක්වුවේය,වළක්වනවා ,වළක්වයි,ඔහු
වැළැක්වුවා,වැළැක්වුවාය,වළක්වනවා ,වළක්වයි,ඇය
වැළැක්වුවා,වැළැක්වුවෝය,වළක්වනවා ,වළක්වති,ඔවුහු 
ගිලුනා,ගිලුනෙමි,ගිලෙනවා ,ගිලෙමි,මම
ගිලුනා,ගිලුනෙමු,ගිලෙනවා ,ගිලෙමු,අපි
ගිලුනා,ගිලුනේය,ගිලෙනවා ,ගිලෙයි,ඔහු
ගිලුනා,ගිලුනාය,ගිලෙනවා ,ගිලෙයි,ඇය
ගිලුනා,ගිලුනෝය,ගිලෙනවා ,ගිලෙති,ඔවුහු 
තැම්බුවා ,තැම්බුවෙමි,තම්බනවා ,තම්බමි,මම
තැම්බුවා ,තැම්බුවෙමු,තම්බනවා ,තම්බමු,අපි
තැම්බුවා ,තැම්බුවේය,තම්බනවා ,තම්බයි,ඔහු
